name,atomic_symbol,atomic_number,atomic_mass,is_metallic
hydrogen,H,1,1.0078250321,False
deuterium,H_2,1_2,2.014101778,False
helium,He,2,4.0026032497,False
helium_3,He_3,2_3,3.01602931,False
lithium,Li,3,7.016004,True
carbon,C,6,12.0,True
carbon_13,C_13,6_13,13.0033548378,True
nitrogen,N,7,14.0030740052,True
nitrogen_15,N_15,7_15,15.000108898399999,True
oxygen,O,8,15.9949146221,True
oxygen_17,O_17,8_17,16.9991315,True
oxygen_18,O_18,8_18,17.9991604,True
fluorine,F,9,18.998403200000002,True
sodium,Na,11,22.98976967,True
magnesium,Mg,12,23.9850419,True
aluminum,Al,13,26.98153844,True
silicon,Si,14,27.9769265327,True
sulfur,S,16,31.97207069,True
potassium,K,19,38.9637069,True
calcium,Ca,20,39.9625912,True
scandium,Sc,21,44.9559102,True
titanium,Ti,22,47.9479471,True
vanadium,V,23,50.943963700000005,True
chromium,Cr,24,51.9405119,True
manganese,Mn,25,54.93804960000001,True
iron,Fe,26,55.9349421,True
cobalt,Co,27,58.933200199999995,True
nickel,Ni,28,57.9353479,True
copper,Cu,29,62.929601100000006,True
zinc,Zn,30,63.9291466,True
europium,Eu,63,152.921226,True
white_mass,Wm,1000,0.0,False
grey_mass,Gm,1001,0.0,False
black_mass,Bm,1002,0.0,False
